start	end	text
693200	693920	Me ponía a preguntar a él.
693920	694360	Sí.
698000	700000	Hermano.
704080	704640	Acabas.
712880	714420	Fue a hacer a medio de otro lado.
714980	716320	Y se metió a...
716320	716900	Aquí y acá.
718660	719220	No, no me acuerdo.
719780	720540	Tengo nuestra información.
722560	723300	Tienes atrás.
726700	727140	Bien.
727140	728480	Me siento bien.
728920	729580	Hay que disfrutarlo.
733300	734860	Sí, no me siento tan...
734860	735860	Preocupado por el futuro.
737380	738820	Pasar de media...
738820	739520	A cuarto.
740260	740980	Pasar a la milicia.
741200	741520	Ajá.
741780	742120	Fácil.
742120	745280	¿Por qué me llaman a la tienda?
745280	747280	¿Por qué me llaman a la tienda?
747280	749280	¿Por qué me llaman a la tienda?
750280	752740	Porque siento que algo bueno, hago algo.
753640	754760	Doy protección a mi país.
755320	756060	Por lo que quiero.
756520	757440	¿Quién sería mi selección?
757900	758440	Chile.
760020	760280	También...
762400	763260	Principalmente eso.
763500	765280	Me gusta lo que es como...
766760	768220	La guardia pública.
768720	769280	La guardia pública.
769280	769440	Sí.
769440	769520	Sí.
769520	769540	Sí.
769540	769600	Sí.
769600	769640	Sí.
769640	769700	Sí.
769700	770100	Sí.
770100	770160	Sí.
770160	770600	Sí.
770600	770660	Sí.
770660	770680	Sí.
770680	770700	Sí.
770700	770720	Sí.
770720	770740	Sí.
770740	770780	Sí.
770780	771160	Sí.
771160	771240	Sí.
771240	772100	Sí.
772100	772420	Sí.
786480	795180	Sí.
795180	800140	Sí.
800140	800640	Sí.
800640	800740	Sí.
800740	801080	Sí.
801080	801220	Sí.
801220	801620	Sí.
801620	802780	¿Computación tal vez?
803940	805800	No lo veo como por ahí, más o menos.
807760	808560	Está tan bien.
810000	811640	Soy bastante flojo, le digo.
811780	812480	La verdad, pero...
812480	813280	En serio.
815400	816560	Pero así como...
824560	825660	Me gusta física.
826100	828320	Me encanta porque veo lo físico,
829040	830200	subo mi ritmo cardíaco,
830400	831520	así como en el sentido de que
831620	834000	yo soy bastante de moverme.
834380	835720	Soy bastante hiperactivo.
836300	838040	Tengo energía todo el rato.
838420	839380	Tengo buena recuperación.
847660	848140	Interesa.
848160	848760	Inglés me interesa.
851980	853080	Me interesa bastante bien.
858620	860080	No soy buena dibujando.
860080	861500	No puedo interesa.
861960	864040	La personalmente no me interesa mucho.
864740	866240	Soy buena para dibujar mapas y hasta ahí.
867300	868500	Coordenada, para ser exacto.
869840	870280	Lenguaje.
871300	872460	No...
872460	873880	Tengo muchas tareas, mucho escribir.
874340	875960	Y no me gusta mucho escribir.
876080	877180	Me gusta hacer acciones.
877180	879320	Así como un movimiento.
881140	882200	Soy buena para hacer parkour también,
882320	882800	no sé.
883500	884840	He podido subirme a estas mesas,
884960	885640	saltecillas.
885900	887020	No tiene nada que ver,
887140	887600	pero no sé,
887680	888380	quería recargarlo.
889480	891020	Soy mejor dando actividad,
891700	893700	haciendo como actividades físicas
893700	895260	en el sentido de escalar,
895600	896660	saltar, correr.
897860	898300	Corro.
899120	899520	¿También?
900080	900800	Sí, corro bastante.
900800	905960	¿Qué poder?
905960	906060	¿Qué poder?
908020	908500	¿Qué poder?
921500	922520	Le cuento todo el buchito
922520	923820	para el Fernan.
924460	925000	No sé.
926160	926780	A veces me paro,
926960	927800	me pongo a dar vueltas.
927800	929520	¿Y los profe te dejan?
929540	930440	O sea, me paro, ¿no?
931500	932180	Me voy a decirle,
932260	932600	hola tía,
933020	933560	me vuelvo.
934520	934760	Me dicen.
936260	937020	¿Te ayuda a calmar
937020	937680	tan necesito?
938440	938720	Claro.
939140	939360	No sé,
939440	940260	depende de mi movimiento,
940360	941100	mi estado emocional
941100	941740	más o menos a veces.
942420	943060	No, no sé,
943140	943460	menos todo.
946040	946400	Sí.
947080	947620	Estar activo todo el día.
947620	947940	Lo que tú dices,
948060	949280	como que haciendo cosas.
957800	966240	que primero
966240	968060	enseñen de forma básica,
968140	968820	como siempre lo hacen,
968900	969740	que no explican y tal.
970220	970940	Después un ejemplo,
971340	971980	creo que es más bueno
971980	972900	lo que hacer normalmente,
973680	974460	pero quizás más variado
974460	975000	el ejemplo,
975120	975960	no tanta explicación.
976440	976620	Ya.
978120	978820	Eso estaría bueno,
978900	979840	o que le vayan preguntando
979840	980760	a cada uno,
981560	982700	o que sería muy demoroso.
982700	983700	No,
986480	986980	yo creo que lo están
986980	987480	haciendo bien.
987680	988860	Así como para generalizarla
988860	989320	entre todos,
989500	990280	lo están haciendo bien.
993340	994000	Educación física.
994460	994880	Tío Juan.
996440	997240	El tío Juan,
997880	998420	de alguna manera,
998500	999140	no soporta.
999700	1000560	Es muy bueno,
1000960	1001520	buena persona,
1001520	1002520	tiene buen...
1002520	1003460	es chistoso,
1003640	1004180	tiene...
1004180	1004880	tiene humor.
1006460	1006940	Y,
1007220	1007540	¿cómo se llama?
1007600	1008900	Es bastante razonable.
1009440	1009660	O sea,
1009720	1010160	no es razonable.
1010360	1010860	Sí, aparte,
1010980	1011520	pero...
1011520	1013800	entiende a los demás,
1014220	1015320	tiene buenas soluciones.
1016840	1017320	Hace la pedo.
1017900	1018480	Es muy bueno.
1018620	1019120	Es muy bueno.
1019240	1020260	¿Y alguna que no te guste?
1023920	1024280	Ninguno.
1025220	1025880	Se vean todos bien.
1026420	1026900	A su manera.
1029620	1029860	Entonces,
1029860	1030940	tienes como una chispa individual
1030940	1031860	de cada uno que hace...
1037680	1039040	No se sucede que ya está ahí
1039040	1039900	y de repente corro,
1040120	1041500	salto y para afuera.
1041520	1042060	No, no estudio.
1046060	1046840	Me aflojé.
1048700	1049840	Hoy entiendo la materia.
1050120	1050460	Nada de dos.
1051960	1052940	O no la entiendes.
1054880	1055200	¿Cómo?
1055480	1056480	¿Dijiste no la entiendo?
1056560	1057540	No, yo entiendo...
1057540	1058900	O me entiendo bien la materia
1058900	1059880	o me aflojé.
1060340	1060500	Ya.
1060740	1061700	No, pero soy bastante bueno
1061700	1062480	para entender la materia.
1063220	1063900	O sea, con...
1063900	1064320	Con lo que tú...
1064320	1065120	Porque la profeta
1065120	1066480	normalmente lo último que hacen
1066480	1067280	son ejemplos.
1067480	1067700	Ajá.
1068440	1069640	Y ahí es donde yo...
1069640	1071080	Ya voy entendiendo
1071080	1071640	algunos ejemplos.
1071760	1072820	Mi hojita de repente.
1073040	1073400	Ajá.
1073760	1074440	Voy viendo...
1074440	1075440	Ejemplo matemático.
1075980	1077360	Estábamos viendo...
1077360	1077860	Estábamos...
1077860	1078780	Porque hicimos la prueba.
1079140	1080160	Fue bastante bien.
1080240	1080960	Lo hizo con un compañero,
1081000	1081280	el Diego.
1081640	1081960	Ajá.
1082020	1082600	El que está a mi lado.
1082960	1084320	Porque era de dos...
1084320	1084820	Potencias.
1085440	1085680	Bien.
1086580	1087220	Yo entiendo
1087220	1088160	cómo van las potencias
1088160	1088680	y lo hicimos
1088680	1089660	con números enteros.
1090080	1090460	Positivos,
1090540	1091040	negativos.
1091500	1091660	Tal.
1092120	1093380	Yo entendí esa regla.
1093940	1094660	Y me creo que
1094660	1095600	me afaste bastante bien.
1096020	1096500	Qué bueno.
1096500	1097580	De repente
1097580	1098220	me jugué
1098220	1099340	en alguna multiplicación
1099340	1101100	cuando hicimos una guía
1101100	1101840	que tenía la décima.
1102020	1102940	Tres décimas me gané.
1104740	1105040	Digamos.
1114860	1115380	No,
1115460	1116280	estábate bien la información.
1118880	1119100	No.
1119580	1120320	No mucho.
1120640	1121640	Los libros,
1121900	1122600	las pruebas de libro,
1122700	1123160	lenguaje,
1123260	1124180	eso es lo que más...
1124180	1124660	Reviso.
1125420	1125820	Resumen,
1126000	1126440	audio libro,
1126500	1126920	de repente.
1127220	1127960	Lo leí un rato.
1129080	1129800	Pero está ahí.
1132080	1132680	¿Te gusta mucho?
1133360	1133860	No, me gusta.
1137120	1137580	Me aburre.
1137820	1138480	Sí, me aburre.
1138480	1139100	Te cansa.
1139120	1139440	No, no,
1139500	1140780	siento que esté...
1140780	1140960	O sea,
1140980	1141600	es productivo,
1141700	1142660	es bueno leer libros,
1142800	1143760	pero yo soy más
1143760	1144580	de estar moviviendo,
1144700	1145920	así que no...
1145920	1146020	Sí.
1146020	1146080	No,
1146500	1146640	no.
1156500	1158640	compañeros,
1158640	1158680	compañeros,
1159000	1160200	lo pasamos bien.
1160440	1160980	De las pocas veces
1160980	1161680	que puedo compartir
1161680	1162600	con gente de mi edad,
1162960	1164560	porque en mi casa
1164560	1165660	normalmente no salen,
1166460	1166720	o sea,
1166860	1167680	porque están...
1167680	1170060	o están muy malas las cosas,
1170260	1171400	está lleno de gente
1171400	1172600	que no da como
1172600	1173180	para juntarse,
1173640	1174280	muchas embarraditas.
1174280	1176040	Yo soy más tranquilito.
1177560	1177740	O sea,
1177840	1178060	claro.
1179340	1180040	Más tranquilito
1180040	1181060	en el sentido de que
1181060	1182320	no voy a ir
1182320	1182900	y patir a una mesa
1182900	1183780	para asaltarle a un niño,
1183920	1184500	pero...
1184500	1185160	A menos que sea un amigo
1185160	1185600	confíase,
1185700	1185880	claro,
1186000	1187280	pero...
1187280	1189460	No soy de destruir
1189460	1190520	cosas a mí
1190520	1191720	por placer.
1192560	1193580	Todo lo hago sin querer
1193580	1194160	y creo que
1194160	1195180	yo soy de los que menos
1195180	1195400	hacen,
1195540	1196440	pero al mismo tiempo sí.
1197220	1198120	¿Y no están allá?
1199180	1200000	Yo estaba intentando
1200000	1200500	verla,
1200820	1201540	no me acuerdo por qué,
1201780	1202340	ah, ya me acordé,
1202860	1203460	porque pensé
1203460	1204120	que había una araña
1204120	1204460	adentro.
1204540	1204800	¿Qué es?
1205180	1205700	Y quería ver.
1206220	1207100	A ver si era la araña.
1209540	1210280	Y se cayó.
1210940	1211860	No se rompió,
1212120	1212940	yo le intenté arreglar.
1213100	1213900	Después vino un compañero,
1214200	1214980	entró la cosita,
1215640	1216340	dijo yo te ayudo.
1217280	1218320	me ayudó hasta la mitad
1218320	1222080	y ahí explotó.
1228260	1228700	No,
1229060	1229960	al parecer no,
1230180	1231400	porque fue más culpa
1231400	1232460	de mi compañero
1232460	1233320	que vino a ser buena
1233320	1233800	ayudarme,
1233960	1235120	porque yo estaba intentando
1235120	1236120	de...
1236120	1238320	de poner la...
1238320	1239260	de poner el cristal.
1241800	1243000	Después mi compañero
1243000	1243720	fue el que
1243720	1245800	hizo cualquier cosita,
1245960	1246380	yo pensé,
1246420	1246980	ah, ya está bien,
1246980	1247840	porque de mi vista,
1247940	1248640	porque yo estaba afuera.
1248920	1249220	Claro.
1249440	1250120	Ah, ya está bien,
1250440	1251360	no va a haber problema.
1254200	1254840	Y cayó.
1261260	1261620	No,
1261700	1262340	no había mucho gusto.
1262340	1263100	¿Qué es?
1268340	1269680	¿Cómo sería tu colegio ideal?
1270640	1271640	Educación física sería
1271640	1272100	la física.
1274580	1274980	¿Ya?
1276980	1278260	jugar a la pelota.
1278260	1278520	No.
1278520	1278540	No.
1278540	1279120	No.
1279120	1279260	O sea,
1279260	1279600	no sé,
1279700	1281340	porque lo siento
1281340	1282220	como muy apagado.
1282420	1284460	Yo prefiero que sea
1284460	1286260	una clase más activa,
1287060	1288740	más ponerle juego.
1289320	1290940	Porque siento que son muy serios,
1291180	1292620	los chiquillos se aburren.
1294800	1295720	Así como juego,
1296080	1296400	no sé.
1296400	1298180	¿Quién fue el autor?
1298180	1298300	¿Quién fue el autor?
1300860	1303060	John Green o John Seed.
1303620	1304080	Adivinen,
1304180	1304780	muchachos,
1305340	1306440	que dice que John Seed.
1307440	1308180	La, la, la, la,
1308180	1310180	me recordó un...
1310180	1312040	¿Te ha visto Viña del Mar?
1312280	1313540	¿Sabes los chistes de Viña del Mar
1313540	1314340	de 2024?
1314880	1315360	¿Es Libby?
1315800	1316160	No.
1316540	1316780	¿No?
1317040	1318100	Es muy bueno.
1319800	1324940	Que era un chiste muy bueno.
1325500	1327280	Después lo voy a poner aquí.
1327680	1328360	Que mi punto
1328360	1330600	es que pongan más actividad.
1330780	1330940	Ya.
1331320	1332380	Que no sea tanta explicación
1332380	1333600	porque de siempre es lo mismo.
1334000	1335040	Yo prefiero algo más
1335040	1336500	que sea en conjunto,
1336600	1337080	que todos sepan.
1337080	1337280	La luz.
1340180	1347680	Hablando sobre política,
1347860	1348200	más o menos.
1348500	1349020	Algo así.
1350360	1350580	Yeah.
1351440	1353140	¿También fue afuera?
1353420	1353720	Claro.
1354400	1355200	Salir afuera.
1355540	1356000	A veces a nosotros
1356000	1357080	nos dejan siempre encerrados.
1357940	1359260	Una vez nos dejaron salir afuera,
1360280	1360720	estuvo bueno.
1361340	1361760	Terremotió.
1362800	1363500	Tremotó ese día,
1363560	1363820	me acuerdo.
1368220	1368660	Sí.
1368660	1370180	El año pasado.
1370920	1371360	Este año,
1372220	1372800	creo que no,
1372880	1373900	no me acuerdo muy bien.
1374200	1374360	O sea,
1374540	1375320	el tío Roberto,
1375400	1376140	el que está haciendo clase
1376140	1376860	ahora en esta hora,
1377980	1379500	nos hizo una salida
1379500	1381500	a un...
1381500	1382980	¿Dónde van las encenitas?
1383100	1383720	Por así como era.
1383940	1384660	El hogar de...
1384660	1385340	El hogar de Cieno,
1385400	1385620	claro.
1386180	1387020	Estuvo bueno.
1387340	1387900	Sí, compañero,
1387980	1388540	no más pudimos ir
1388540	1389720	por temas del tamaño
1389720	1390240	del vehículo.
1391800	1392200	Después,
1392440	1393660	no me acuerdo muy bien
1393660	1395020	qué otras salidas
1395020	1395420	hemos hecho.
1396660	1397660	En el séptimo,
1398660	1400500	fuimos a una cosa
1400500	1401040	de peinball,
1401400	1402620	escalada y exploración
1402620	1403200	por cerro.
1404480	1405080	Todo mal.
1406380	1407820	Pero graciosísimo.
1409060	1410360	Entramos por una tubería
1410360	1411000	media rara
1411000	1411720	que estaban encima
1411720	1412240	de un puente,
1412340	1412460	o sea,
1412520	1412920	que estaban abajo
1412920	1413500	de un puente.
1414500	1415100	Todo lleno de barro.
1416440	1417400	Pasamos por la esquina.
1418520	1418880	Subimos.
1418880	1419900	En el cerro,
1420240	1421500	mínimo 10 se cayeron.
1423040	1423520	Mínimo.
1425300	1426020	Y fuimos 20.
1427800	1428840	27 menos menos.
1429080	1430180	31 aproximadamente
1430180	1430560	por ahí.
1430860	1431380	Fuimos varios.
1432180	1432660	Subimos.
1433400	1434060	Se cayeron la mitad.
1435340	1435800	Nos reímos.
1437300	1437580	Después,
1437680	1438380	cuando bajamos,
1438840	1439420	me acuerdo
1439420	1441320	que la cosa
1441320	1441880	de la tubería
1441880	1442580	estaba así,
1442860	1443480	la forma así.
1444080	1445080	Vaya por la esquina.
1445900	1446440	Un montón
1446440	1447840	de gente cayendo
1447840	1448280	tanto.
1450280	1450760	¿Me siento?
1451340	1452220	Nadie se entiendo.
1452440	1452840	Toda la ropa
1452840	1453220	es manchada,
1453280	1453920	iba a roper hasta ahí.
1454300	1455380	Te voy a arreglar cosas.
1455560	1455680	Bueno,
1455820	1456200	me acuerdo
1456200	1457340	que cuando estaba subiendo
1457340	1458320	escuché un grito
1458320	1458900	me asusté
1458900	1459560	y me caí.
1461960	1462600	Qué mal.
1463240	1464100	El pinball.
1464700	1465560	Fue hermoso.
1465780	1466960	Pero lo pasaron bien.
1469420	1476880	Fue un jardín infantil
1476880	1478000	temporal más o menos.
1478240	1479080	Quedaban al lado
1479080	1479600	de mi casa.
1480160	1480880	Quedaban por
1480880	1482100	el apartamento.
1482640	1483140	Abajito
1483140	1484360	había como una sed.
1484560	1485420	Estaba abandonado ya,
1485580	1485740	pero
1485740	1487880	había un jardín.
1488060	1488320	Yo iba.
1489020	1489300	Me acuerdo
1489300	1490740	que había una arañita
1490740	1491920	justo donde yo me sentaba.
1492500	1492720	Le decía
1492720	1493540	y le llamé Pedro.
1495940	1496440	Más o menos.
1496700	1496920	No sé.
1497020	1497540	No me gusta nombrar
1497540	1497860	a ni más.
1499420	1501980	Pero creo que una araña
1501980	1502380	tigre.
1502640	1502860	No sé,
1502940	1503740	siempre la vi de por ahí.
1505580	1506280	Creo que le prestaba
1506280	1507240	atención a la araña.
1508540	1508960	Puede ser.
1508960	1523260	la gacha.
1523520	1524080	La gacha.
1524080	1524100	La gacha.
1524100	1524120	La gacha.
1524120	1525760	La gacha de acá.
1527360	1529520	Y el baño.
1530580	1531260	¿Por qué baño?
1531820	1532980	Hay las faritas.
1533220	1533580	Ah, ya.
1534000	1535280	Después de volver a la jugada,
1535340	1535620	la pelota.
1535620	1535800	Vale.
1538960	1540200	La sala.
1541240	1541880	Por razón de que
1541880	1543260	está como muy encerrado.
1543800	1543980	O sea,
1544080	1544800	yo no soy mucho
1544800	1545580	de estar encerrado
1545580	1547780	sin estar activo.
1547880	1548120	Bien.
1548980	1549580	Soy muy malo
1549580	1549920	para dormir.
1550080	1550480	Y otra cosa.
1551520	1552040	También.
1552680	1553240	¿Para dormir?
1554040	1554360	Sí.
1555080	1555820	A veces de repente
1555820	1556600	me doy un solio
1556600	1557880	o me hago un campamento
1557880	1559480	porque hay unos manchitos
1559480	1560680	y algunas decoraciones
1560680	1562100	de cosas que vamos a tener.
1562840	1563200	Y hay pocas
1563200	1563680	las mantitas
1563680	1564520	y me hago un campamento.
1564580	1565160	¿En tu casa?
1565400	1565640	Sí.
1565640	1566920	Mi pieza.
1568320	1568980	¿Dormes poco?
1569340	1570040	Dormo poquito.
1570520	1571260	¿Cuánto duermes?
1573260	1573620	Sí,
1573780	1574720	cosellora.
1577800	1578680	Hace siete.
1580060	1580560	¿Pero es?
1582560	1582760	Sí.
1583420	1583920	Descansado
1583920	1584540	todo el día.
1584700	1584980	No, no, no.
1586160	1586420	O sea,
1586500	1586940	la mañana,
1587080	1588300	claro que despierto cansado
1588300	1589180	o cualquier cosa.
1589820	1590400	Pero después,
1590480	1591100	a los dos minutos
1591100	1591880	me tomo un té
1591880	1592440	y estoy.
1592600	1592740	Sí.
1593360	1593980	Estoy activo.
1593980	1612400	Todo el mundo.
1623980	1636900	Es que el piso
1636900	1638320	es resbaladizo.
1639340	1639940	Yo hoy me dir
1639940	1640500	como si estuviera
1640500	1641320	dejando en el fútbol
1641320	1641700	o algo así.
1642720	1643120	Una vez,
1643220	1644000	me boté a cinco compañeros.
1644140	1644580	O sea, no.
