start	end	text
192000	197580	Y concretamente, ¿qué es lo que hacen como en apoyo con tus compañeros?
197580	216560	Vamos a hablar ahora un poco
216560	218400	De tu proyectoría escolar
218400	221800	¿Has estado siempre aquí?
221800	222480	Sí
222480	227160	Muy bien
227160	228260	Me parece
228260	231280	¿Y recuerdas algún año de esta trayectoria?
232120	233200	¿Cuántos años han ya?
233360	235120	Desde el prekínder hasta ahora, ¿no?
235240	235920	Como ocho
235920	238100	Más nueve, el kinder nueve
238100	238540	Diez
238540	239160	Diez años
239160	240080	Casi, ¿cierto?
240940	241220	No
241220	242600	No, no, no
242600	243880	Ocho, ocho
243880	243960	Ocho, ocho, ocho
243960	245280	Está bien, ocho años
245280	251360	¿Recuerdas algún año que haya sido así como muy muy bueno?
251740	252520	Cero básico
252520	254300	Tercero y segundo básico
257160	258760	No
258760	260760	¡Gracias!
288760	295760	Claro, sí, pues lo pasabas bien. Era todo novedad, todo era entretenido. ¿Y te iba bien con las notas?
295760	297760	Me está yendo bastante.
301760	306760	Ya, muy bien. ¿Pero hay algún año que tú recuerdas que haya sido muy bueno en notas académicamente?
310760	311760	En qué promedio, sí.
311760	314760	¡Guau! ¿Qué pasó ahí? ¿Qué fue tan bueno?
318760	322760	Ah, está, estoy bien.
322760	327760	¿Pero por qué estudiaste más? ¿Por qué te esforzaste más? ¿Algo pasó?
328760	329760	No.
337760	339760	Aprender rápido.
345760	346720	¡Ah!
349760	352760	Como tú poder practicar las cosas que te están diciendo.
354760	359760	¿Y hay un año que recuerdas tú que no haya sido tan bueno hasta ahora en tu trayectoria escolar?
359760	360760	No, no.
360760	361760	No, no.
361760	362760	Qué bueno.
362760	363760	Pero digo que...
363760	364760	¿Yе?
364760	365760	Aquí tiene algún información queégame una cosa podrá irme detener a mi canal en tuינה espiritual?
365760	366760	No.
366760	367760	Ya.
367760	368760	Me quedí triste.
369760	370760	No.
370760	385760	O sea, pero en género tu experiencia marginsulada ha sido buena.
385760	388020	Tenía como estas cosas como negativas.
388160	389980	¿Y algún año que ha sido más bajo en notas?
390260	391280	¿Más descendía en las notas?
393760	394160	Sí.
395360	397660	¿Pasaste del 6-8 a...
397660	398560	¿Te confiaste mucho?
398880	399220	No, no, no.
407160	407880	Un rojo.
409940	410500	Lenguaje.
415760	416760	Lenguaje.
419340	419780	Excelente.
420780	421220	Lenguaje.
421380	421620	Ya.
421840	422920	¿Por qué te preocupaste?
423240	423400	Sí.
423400	424280	Sí, de hacerlo.
424540	424880	Perfecto.
424900	431340	¿Y este colegio en el que has estado todo tu vida, qué es lo que más te gusta del colegio?
434140	434660	Mieros.
444660	445580	La variedad.
445760	455060	La variedad es bastante.
455060	455160	La variedad es bastante.
455700	456260	Diversidad.
456640	456880	Claro.
464700	465940	¿A ti te gusta el fútbol?
466300	466820	Juegas.
467160	468160	A cada lujo de...
468160	468900	A varios les gusta.
469160	469340	Sí.
471040	471720	¿Tú juegas?
472980	473240	Ya.
473240	475600	¿Pero estás en algún club o en algo?
475820	476580	Sí, fue un club.
476980	477300	Tone.
479520	479980	Micropotón.
503240	508100	¿Pero tú cómo te vienes al colegio?
508300	508940	¿Te vienen a dejar?
509020	509220	¿En vos?
509980	510940	Tomas ese bus.
513940	517060	¿Te vienen a dejar todos los días y después tú te van a dejarme?
517060	518060	Chéveres.
520060	520500	Chéveres.
520720	520740	Chéveres.
520740	520900	Chéveres.
520900	521040	Chéveres.
521040	521240	Chéveres.
522240	525500	Y después entonces no te pueden venir a buscar para llevarte al otro lado.
525580	526140	No alcanzan.
526280	527960	Pero tampoco dejan que tú vayas solito.
528160	528240	No.
529960	530660	Quedas lejos.
531120	531240	Chéveres.
532880	533760	¿Y a ti te parece bien?
534140	534760	Sí, está bien.
534780	535860	Te proteges y te cuidan.
535860	541780	Entonces tú te vuelves solo y te vienen a dejar.
542220	542940	Chéveres.
542940	544920	¿Y qué cosas no te gustan del colegio?
544920	574900	¿Qué cosas no te gustan del colegio?
574920	575660	Antes no era así.
581900	582800	Ya entiendo.
582900	588400	Limitaron las posibilidades de estar ocupando.
589060	590820	Pero ustedes tienen una cancha atrás, ¿no?
590820	591860	Sí, no la ocupan.
595220	597060	Porque ya podrían jugar a la pelota.
597200	598760	Ah, esa es como la zona de evacuación.
599400	600320	Ah, no dejan.
601580	601840	Ya.
604920	609360	¿Y ha pasado que hay estudiantes que se han ido?
609380	609520	Sí.
609620	610180	¿Que se arrancan?
621400	621880	Ya.
622020	622480	¿Y dónde está?
622480	622920	Yo marco luego...
624360	626680	El de primero.
630780	633580	¿Y tú?
633580	633600	¿Y tú?
633600	637700	Mira, ¿y tú no quieres quedarte acá en la media?
637700	641640	Sí.
653580	653900	¿Y tú?
653900	654020	El de auxilio.
654200	654220	¿Y tú?
654220	654480	Tomato Más, ¿no?
654480	655600	Octavo Más, ¿no?
655600	655780	fertig.
656320	656740	¿Y tú?
656760	657120	Que sea?
657220	657720	¿Y tú?
657800	658200	No, no.
658200	658700	Señor Más, ¿no?
658700	659900	Bueno, yo أ audiences aquí pero hoo mainly en la media, loves que sea tal,
659900	660500	¿tú?
660500	661220	¿Qué más?
661220	662740	Yo te cattle, tú, ¿qué más?
662740	663260	¿Tú?
663260	664920	No, bueno, lo Ally?
664920	665460	¿ erhöaabetes, pues mira.
665460	666460	Gracias.
695460	698580	¿Pero tu hermano o tu hermana me dijiste?
698640	698900	¿El quién?
699560	699960	Hermano.
700020	701600	Hermano, ¿está en dónde ahora?
701840	705200	Está en la Marina, Cabo II.
705300	706480	¿Y tú quieres hacer lo mismo que él?
706620	706820	Sí.
708640	712240	¿Y él estuvo aquí y de aquí se fue a hacer la media a otro lado?
712380	712600	Sí.
716340	718700	¿Y a qué colegio fue? No te acuerdo.
720280	722360	¿Vas a seguir lo mismo?
722720	724000	¿Ya tienes trazado tu futuro?
724160	724320	Sí.
724320	726280	¿Qué se siente tener tu planeado?
730640	731840	¿Tranquilidad?
733300	735860	Sí, no me siento tan preocupado por el futuro.
743100	743660	Bueno.
745340	748900	¿Y por qué elegiste la milicia? ¿Qué te llama la atención?
748900	749560	¿Qué me llama la atención?
749560	749740	Sí.
754320	770980	Mira, mira, qué bien.
772360	775780	Te felicito por tener esa claridad tan chiquitito todavía.
775780	782140	Bueno, eso es cierto.
782540	785100	Es un poco mucha sensación por todos lados, ¿cierto?
785380	785600	Ajá.
786280	788240	Ya, volvamos acá al colegio, ¿verdad?
789100	792040	Y cuéntame de las asignaturas que tiene.
792760	793780	¿Cuál te gusta más?
796100	796300	¿Qué?
796300	796900	¿Ya?
802900	803660	¿Ya?
811660	813280	¿En serio?
813280	813760	¿Qué?
813760	813840	¿Qué?
815200	815320	¿Qué?
815320	815960	¿Qué?
815960	816240	¿Qué?
817400	817480	¿Qué?
818520	819080	A ver.
820740	824920	¿Hay alguna asignatura que te interese, que te llame la atención, el contenido?
824980	825580	¿La voz física?
826020	826260	Sí.
826360	826380	¿Qué?
826380	827020	Me encanta porque...
827020	839400	Tengo buena recuperación
839400	839940	Ya
839940	842400	Entonces eso te hace bien
842400	843800	Pero de las otras materias
843800	844840	¿Nada te interesa tanto?
845240	846020	No mucho
846020	846600	No mucho
846600	847600	Inglés
847600	848100	¿Te interesa?
848100	848280	Inglés
848280	850140	Exacto
850140	851960	¿Y te va bien?
852220	852420	Sí
852420	853600	Qué bueno
853600	856720	¿Y cuál asignatura es la que no te gusta?
857020	858400	Parte
858400	862700	La persona
862700	865180	Soy bueno
865180	868960	No
887020	888140	Sí
888140	892400	Maravilloso
892400	893340	Adiós
893340	923320	No, no, no, no, no, no, no.
923340	953320	No, no, no, no, no.
953340	983320	No, no, no, no.
983320	1013300	No, no, no, no, no.
1013320	1043300	No, no, no, no, no.
1043300	1073280	No, no, no, no, no, no, no.
1073300	1103280	No, no, no, no, no.
1103280	1133260	No, no, no, no.
1133260	1163240	No, no, no, no, no, no, no.
1163260	1193240	No, no, no, no, no, no.
1193260	1223240	No, no, no, no, no, no, no, no.
1223240	1253220	No, no, no, no, no, no, no, no.
1253300	1258400	No, no, no, no, no, no, no, no, no...
1258400	1260660	Y ahí se quebró nomás, nada que hacer.
1261460	1263320	No, no, nada que hacer.
1264940	1268480	Cuéntame, ¿cómo te gustaría que fuese el colegio?
1268580	1269640	¿Cómo sería tu colegio ideal?
1270300	1273120	La educación física sería la clase y conglés de todos los días.
1288400	1298300	¿Quién fue el autor?
1306300	1307300	¿Estamos jugando?
1307400	1308400	La...
1308400	1312400	Me recordó un...
1312400	1315400	¿Es Libby?
1315400	1318140	No, es muy bueno.
1318400	1319200	¿Cuándo vueles?
1319200	1319260	¿Cuándo vueles?
1319260	1320300	¿Cuándo vueles?
1320300	1320580	¿Cuándo vueles?
1321480	1323840	Y acá en cambio de riesgo, sí, para que llevo cuatro años.
1323840	1324460	Es que no...
1324460	1328460	No sé, tú...
1328460	1332460	No sé, tú...
1332460	1334460	Yo prefiero...
1334460	1338560	Más lúdico, más juego eso.
1338620	1338780	Sí.
1339060	1341840	Y más en conjunto, dices tú.
1341940	1343540	Más trabajo discutido.
1344180	1345420	Más reflexión.
1345420	1346620	Niño, te quito...
1348400	1349020	Algo así.
1350360	1350560	Ya.
1351360	1353840	También más conectado con lo que pasa...
1353840	1355200	Salir afuera.
1364480	1369200	Pero has hecho salidas con el curso, por ejemplo, a otros lados que los lleven, salidas pedagógicas.
1369200	1374640	El tío...
1374640	1376840	¿Ahora?
1381300	1382960	¿Dónde van las enseñitas?
1383540	1384300	El hogar.
1385380	1385620	Claro.
1386160	1386300	Sí.
1389720	1395420	¿Qué otros serías hemos hecho?
1395420	1397860	Bueno, el cep...
1397860	1399380	¿Vivo?
1403380	1405060	Todo mal.
1405060	1418580	Subimos.
1418580	1422020	Se cayó la mitad.
1422020	1423640	No puedo decir.
1424720	1425660	Y fue muy...
1428020	1431580	Subimos.
1433360	1434080	Se cayó la mitad.
1438420	1439440	No acuerdo.
1449180	1450580	Pero nadie está haciendo...
1452020	1453020	Gracias.
1482020	1483020	Gracias.
1512020	1513020	Porque, de hecho, tenés que haberle prestado atención….
1513020	1514020	Claramente.
1514020	1517020	Bueno, y en este colegio…
1517020	1520020	Me imagino que, como te gusta actor football…
1520020	1522020	…¿Cuál es el lugar que más te gusta?
1522020	1523020	¿Ves?
1523020	1524020	Del colegio.
1524020	1527020	¿D38, por aquí?
1527020	1529020	¿Por qué?
1533020	1534020	Estamos aquí.
1536020	1539020	¿Y cuáles son los lugares que más te gustan de acá?
1539020	1540020	Salas.
1540020	1540940	Salas.
1542020	1553280	Para dormir.
1572020	1582600	Pero eres así, digamos, ¿no?
1582600	1584540	Que con eso han descansado todo el día.
1593960	1595160	Súper activo de nuevo.
1595460	1595580	Sí.
1596040	1596420	Mira.
1598160	1598760	Qué bueno.
1598760	1603600	Ojalá todos fuéramos así, porque uno necesita más energía en la vida.
1604420	1605760	Así que...
1605760	1610600	Qué entretenido eso para ti, tener tanta energía.
1612680	1613780	Sí, pues, súper bien.
1620020	1623480	Y en tu curso, entonces, para resumir.
1624380	1626400	¿Te gusta el espacio?
1626400	1628080	No te gusta tanto porque es encerrado.
1628180	1628280	Sí.
1628440	1628640	¿Cierto?
1629580	1630440	Eh...
1630440	1632200	¿Pero te sientes cómodo en tu curso?
1632320	1632980	No, yo no voy a hacer.
1633340	1633520	¿Hm?
1633920	1634360	Otra cosa.
1634800	1635420	No lo compré.
1636080	1636760	Es que...
1644040	1644600	O sea, no.
1650760	1652040	¿Nos enojaron contigo?
1652380	1653340	¿Nos enojaron?
1653420	1653720	No.
1658760	1659300	El sentido de...
1659300	1666560	Claro.
1666560	1667440	¿Eh?
1667440	1668840	Claro.
1688840	1689860	Hago una barrida.
1690100	1690300	¿Ya?
1690460	1691080	Barrida de fútbol.
1691120	1691480	Te tiré.
1691880	1692660	En el suelo.
1693080	1693900	Lo podría hacer a ver.
1694140	1695700	No, pero mira, este piso todo sucio.
1695700	1695880	No.
1697440	1701340	Y ahí pasas a votar al compañero.
1701420	1702280	¿Los profes no te dicen nada?
1702720	1704380	O eso mientras esperan que lleguen.
1704940	1706000	O lo hace con los profes también.
1718000	1718240	Sí.
1725700	1727060	Sí.
1727440	1736560	La bestia que está ahí contenida, que es lo que necesita moverse, pobrecita.
1738900	1741820	¿Y tú te describirías como una persona a la que le gusta aprender?
1748400	1748840	¿Sabes?
1749840	1750340	¿Está bien?
1750680	1751060	No, sí.
1751480	1753000	Es que me pica un poco la garganta.
1753560	1754720	Pero no se trata de niña.
1756420	1757060	¿De aprender?
1757440	1767400	Si te gusta aprender cosas nuevas, saber cosas, no sé, que te llame, que tengas curiosidad
1767400	1769440	porque te enseñen cosas distintas.
1769620	1769960	Sí.
1769960	1770200	No.
1787440	1797540	¿Y esto que está muy mal a las cosas, te tiene preocupado?
1809540	1814240	Yo lo apoyo.
1814240	1828640	¿Y esas cosas que te dan un poquito de susto?
1835120	1838700	Pues que los deje a la hora.
1838700	1846940	¿Pero acá tú en el colegio te sientes seguro?
1849680	1852180	¿Te sientes protegido acá en este espacio?
1856760	1858700	Todos, no soy de...
1858700	1865600	Mejor es como medio mundo.
1865600	1867960	¿Qué es lo que más te sientes?
1868700	1869700	¿Qué es lo que más te sientes...?
1869700	1870700	¿Qué es lo que más te sientes...?
1874660	1878700	¿Qué es lo que más te sientes...?
1878700	1893660	Que bueno eso
1893660	1896260	Que tú no tengas dificultad
1896260	1897800	Para relacionarte con las personas
1897800	1899720	Acercarte, buscar la interacción
1899720	1902060	Ser como bien activo en eso
1902060	1904560	No necesitas que te protejan
1904560	1904940	Dices tú
1904940	1907460	Porque te sientes bien con todos
1907460	1909600	Tienes buenas relaciones con todos
1909600	1913160	¿No hay nada que necesites
1913160	1914020	Pairle al colegio?
1917800	1919580	Ya me quedo claro que
1919580	1921740	Que hubiera todos los días
1921740	1923000	Ojalá de educación física
1923000	1932880	¿No a todos les gusta la educación física tampoco?
1934340	1935800	A mí no me gusta la lengua
1937460	1939600	Ojalá de educación física no se haguen
1939600	1941100	Muchas gracias
1947160	1963240	Yo intercabio
1963240	1964040	que vaya a intercambiar
1964040	1976120	y tus papás
1976120	1978460	¿te exigen en lo académico?
1978640	1980680	¿que te piden que te vaya mejor?
1980680	1981880	¿o se preocupan?
1984880	1985400	estudiar
1985400	1986720	eso es lo único que te digo
1986720	1988820	pero tú dices que tú no estudias
1988820	1990620	entonces nunca te dicen nada en la casa
1990620	1991420	porque no te ven a estudiar
1991420	1992640	que no mucho porque me va bien
1992640	1996460	no tengo problemas académicos
1996460	1998720	¿nunca tus papás han estado
1998720	2000520	como encima preocupados de eso?
2003520	2005160	¿tampoco tienes anotaciones negativas?
2005180	2005980	no tengo nada
2005980	2007640	¿y positivas?
2009320	2009920	el séptimo
2009920	2014800	me han llevado
2014800	2014900	no
2022640	2031020	segundo día
2031020	2034520	bueno
2034520	2034780	¿sí?
2034780	2034920	¿sí?
2034920	2035400	yo propia
2035400	2035800	no sé
2035800	2036460	no sé
2036460	2039020	no sé
2039020	2039340	bueno
2039340	2040980	ya
2040980	2042640	super
2042640	2046020	nos tomó dos días
2046020	2046920	dos días
2046920	2049160	pero
2049160	2050080	sí, sí
2050080	2052480	y haces entonces cosas que te nacen
2052480	2052960	así como
2052960	2053900	de aporte
2053900	2053980	sí, de repente
2053980	2061660	y tienes gente que te sigue
2061660	2062440	sí
2062440	2063660	y la idea la das tú
2063660	2065220	o el Fernando
2065220	2066180	son dos
2066180	2066760	son un par
2066760	2068560	¿te consideras medio líder?
2069060	2069240	no
2069240	2071140	¿crees que eres medio líder?
2071300	2071960	medio líder
2071960	2073400	¿o líder entero?
2073580	2074660	no, líder entero no
2080080	2087540	y la gente te sigue
2087540	2089360	muy bien
2089360	2090660	ya no me has dibujado
2090660	2091340	no te sientas
2091340	2092240	nos falta
2092240	2093980	puedes hacer el dibujo
2093980	2094140	tú
2094140	2097280	y me muestres
2097280	2098180	dónde estás sentado
2098180	2098520	tú
2098520	2099660	a ver
2099660	2102340	con las coordenadas
2102340	2103020	que tú dijiste
2103020	2103220	¿ya?
2104360	2104660	uno
2104660	2105440	dos
2105440	2105760	tres
2110080	2110720	¿ya?
2113720	2114320	ok
2114320	2117820	¿cuántos son en tu curso?
2121100	2121800	eso fueron
2121800	2123620	39
2123620	2139000	y tienes tres filas
2139000	2139300	¿cierto?
2139460	2139780	son dos
2140580	2141140	¿cierto?
2151120	2153040	¿cierto?
2153400	2154460	¿cierto?
2163960	2166180	diago
2166180	2167120	gracias
2167120	2167220	gracias
2167220	2168180	gracias
2169780	2170780	Gracias.
2199780	2200780	Gracias.
2200780	2201780	Gracias.
2201780	2202780	Gracias.
2229780	2230780	Hola.
2232780	2233980	Ya no importa.
2234480	2238920	3, 4, 3, 5, 6, 7, 8, dijiste.
2249760	2251000	¿Cuándo está?
2251500	2252300	Si me supone que estoy acá.
2253080	2253240	Ya.
2253580	2254140	Ahí estoy yo.
2256780	2258080	Todos ellos son todos amigos.
2258820	2259180	¿Sí?
2259780	2272560	pero te relacionas en general como con todo
2272560	2276740	y le podrías poner una emoción a tu puesto
2276740	2279540	con cuál sería la emoción que más te acompaña en el día
2279540	2280460	en tu sala
2280460	2289380	era como un ticket como de nervioso
2289380	2292400	o como de consueño
2292400	2297260	me dijiste que tú no tenías sueño
2297260	2301980	esto
2301980	2304900	esto queda como aburrido
2304900	2320960	bueno, dibuja tú uno mejor
2320960	2324040	si ninguno te parece, dibuja uno tú
2334900	2337280	ok
2337280	2341020	ponle tu nombre
2341020	2349920	pero no es que estés con sueño
2349920	2359120	creo que es como plano, ¿no?
2359500	2360920	como esta boca plana
2360920	2363500	como sin mucha emoción
2363500	2365480	como que aburrido es como más plano
2365480	2369860	claro, ninguno tiene esa como buquita, esa raya
2369860	2371880	en verdad
2371880	2376620	puede ser un poco
2376620	2379020	pero es como
2379020	2381380	puede ser
2381380	2382380	puede ser ese
2382380	2383060	sí, puede ser
2383060	2383660	sí
2383660	2385160	vamos por ese
2385160	2385880	vamos a apostar
2385880	2387080	apostemos
2387080	2388120	apostemos por ese
2388120	2388740	muy bien
2388740	2390460	ese
2390460	2390880	perfecto
2390880	2391680	perfecto
2391680	2392840	ahí lo movimos
2392840	2394560	estampado
2394560	2395300	ya
2395300	2396580	vamos
2396580	2398640	muchísimas gracias
2398640	2401040	no me voy a dejar un ratito más
2401040	2402940	no quieres volver a clase
2402940	2403320	no
2403320	2404680	¿por qué?
2404780	2405660	estás haciendo valores
2405660	2407500	yo ya me quiero a mí mismo
2407500	2408400	no vale
2408400	2410660	pero siempre es bueno
2410660	2412260	porque se supone que en esa asignatura
2412260	2413340	uno reflexiona
2413340	2415100	vos también conoces a los compañeros, ¿no?
2415340	2417640	no hay la posibilidad de que todos compartan un poquito
2417640	2427720	que le vaya bien
2427720	2429100	muchas gracias
2447640	2448640	gracias
