start	end	text
369900	372520	¿Se te ha ido alguno?
374120	374360	No
374360	377680	Es que a veces
377680	378400	En el primero medio
378400	378760	Se van
378760	380500	A otros colegios
380500	387300	Ay, qué fome
387300	390220	¿Y los que se han ido bien?
394600	395440	Ah, entonces
395440	395960	Sí se ve
395960	398560	¿Y cómo le ha ido
398560	399060	Del Maxi?
405360	406880	La mamá lo ayuda a todos
406880	407780	Es un buen equipo
407780	408480	Con su mamá
408480	409360	Ya
409360	410400	Muy bien
410400	410980	¿Y te gustaría
410980	411760	Tener una mamá
411760	412700	Así como más pro?
413420	413940	¿O está bien
413940	415000	Tu mamá con lo que hace?
420340	420780	Claro
420780	422340	Sí
422340	424620	Entre los dos
424620	426540	Bueno
426540	427020	Hay que bañar
427020	427840	A tu mamá entonces
427840	429360	No es verdad
429360	430480	Es un buen equipo
430480	431200	Tener una mamá
431200	431840	Como la tuya
431840	433160	Sí
433160	433760	Pucha
433760	434560	Ojalá le puedas
434560	441080	No es verdad
441080	441680	Sí
